user_id:token	item_id:token	rating:float	timestamp:float
LH8ERBe1DpXavxtNNxKE0KIPyio2	advanced4701	1	1672884339704
LH8ERBe1DpXavxtNNxKE0KIPyio2	advanced4702	1	1672884339704
LH8ERBe1DpXavxtNNxKE0KIPyio2	advanced4703	1	1672884339704
LH8ERBe1DpXavxtNNxKE0KIPyio2	advanced4704	1	1672884339704
LH8ERBe1DpXavxtNNxKE0KIPyio2	advanced4705	0	1672884339704
LH8ERBe1DpXavxtNNxKE0KIPyio2	advanced4701	1	1672892989732
LH8ERBe1DpXavxtNNxKE0KIPyio2	advanced4702	1	1672892989732
LH8ERBe1DpXavxtNNxKE0KIPyio2	advanced4703	0	1672892989732
LH8ERBe1DpXavxtNNxKE0KIPyio2	advanced4704	0	1672892989732
LH8ERBe1DpXavxtNNxKE0KIPyio2	advanced4705	0	1672892989732
XTTrzLKaoRhhYGwdd8Laddas3BN2	advanced6201	1	1672983320709
XTTrzLKaoRhhYGwdd8Laddas3BN2	advanced6202	1	1672983320709
XTTrzLKaoRhhYGwdd8Laddas3BN2	advanced6203	1	1672983320709
4O5iU8xw5eTVd4vz06arFrbEReE3	basic4801	1	1672986043427
4O5iU8xw5eTVd4vz06arFrbEReE3	basic4802	0	1672986043427
4O5iU8xw5eTVd4vz06arFrbEReE3	basic4803	0	1672986043427
4O5iU8xw5eTVd4vz06arFrbEReE3	basic4804	0	1672986043427
LH8ERBe1DpXavxtNNxKE0KIPyio2	basic4701	1	1672990732465
21ihzzx6cyX9DmcPwgA5ol54tvX2	basic4701	0	1673281526680
LH8ERBe1DpXavxtNNxKE0KIPyio2	basic5723	1	1673404887987
rFW8tuibA9cYaOummBR5nS5ucI53	basic5743	0	1673405025056
LH8ERBe1DpXavxtNNxKE0KIPyio2	basic6026	0	1673405028541
rFW8tuibA9cYaOummBR5nS5ucI53	basic5729	0	1673405030079
rFW8tuibA9cYaOummBR5nS5ucI53	basic5546	0	1673405032446
rFW8tuibA9cYaOummBR5nS5ucI53	basic5428	0	1673405035890
tbvwLfZbYMYgswPqvwx5UjAUzom2	advanced5636	1	1673405275571
tbvwLfZbYMYgswPqvwx5UjAUzom2	advanced6127	1	1673405285720
bR5SdsiXAlUoPmZAnWldnfhLJs92	basic4803	0	1673406886308
bR5SdsiXAlUoPmZAnWldnfhLJs92	basic5848	0	1673406889493
bR5SdsiXAlUoPmZAnWldnfhLJs92	basic5716	1	1673406893245
LWCThmnT8Afn9lXuUtJMB75eWFI2	basic6044	1	1673407608292
LWCThmnT8Afn9lXuUtJMB75eWFI2	basic5832	1	1673407637507
LWCThmnT8Afn9lXuUtJMB75eWFI2	basic6144	0	1673407662611
LWCThmnT8Afn9lXuUtJMB75eWFI2	basic6101	0	1673407671651
LWCThmnT8Afn9lXuUtJMB75eWFI2	basic4726	1	1673407698107
WdRfUywwibaPGuJrulpvKL0i6Ww2	basic4829	1	1673407702573
LWCThmnT8Afn9lXuUtJMB75eWFI2	basic5016	1	1673407705235
WdRfUywwibaPGuJrulpvKL0i6Ww2	basic4819	1	1673407714762
LWCThmnT8Afn9lXuUtJMB75eWFI2	basic5111	1	1673407742571
LWCThmnT8Afn9lXuUtJMB75eWFI2	basic5202	1	1673407779538
LWCThmnT8Afn9lXuUtJMB75eWFI2	basic4828	0	1673407788714
LWCThmnT8Afn9lXuUtJMB75eWFI2	basic5527	1	1673407800714
LWCThmnT8Afn9lXuUtJMB75eWFI2	basic5037	0	1673407813522
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic4927	1	1673407980309
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic5409	1	1673408004798
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic5012	0	1673408029467
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic5416	0	1673408054163
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic4848	1	1673408067356
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic4802	1	1673408080519
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic4901	1	1673408121339
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic4936	0	1673408150111
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic4913	1	1673408232848
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic5815	1	1673408253028
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic5808	1	1673408284048
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic5403	1	1673408325266
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic6048	1	1673408344763
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic5846	0	1673408367979
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic6101	1	1673408380340
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic5730	1	1673408443612
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic4946	1	1673408472950
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic6105	1	1673408492330
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic6132	0	1673408537913
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic4935	0	1673408555998
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic6013	1	1673408562846
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic5546	0	1673408581501
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic5031	0	1673408592022
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic5728	0	1673408665713
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic5041	1	1673408679301
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic4814	0	1673408699043
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic5727	0	1673408710658
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic5025	1	1673408733722
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic4923	0	1673408748669
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic5529	1	1673408772786
AjCRClQBFjgtiRk2OxVIz5xCtCT2	basic5131	0	1673408783030
LH8ERBe1DpXavxtNNxKE0KIPyio2	basic5206	0	1673409995776
LH8ERBe1DpXavxtNNxKE0KIPyio2	basic6007	0	1673410003124
LH8ERBe1DpXavxtNNxKE0KIPyio2	basic6015	0	1673410052078
LH8ERBe1DpXavxtNNxKE0KIPyio2	basic5425	0	1673410090158
LH8ERBe1DpXavxtNNxKE0KIPyio2	basic5034	1	1673410120805
LH8ERBe1DpXavxtNNxKE0KIPyio2	basic5043	1	1673410735453
LH8ERBe1DpXavxtNNxKE0KIPyio2	basic4701	0	1673410784054
LH8ERBe1DpXavxtNNxKE0KIPyio2	basic4702	0	1673410784054
LH8ERBe1DpXavxtNNxKE0KIPyio2	basic4703	0	1673410784054
LH8ERBe1DpXavxtNNxKE0KIPyio2	basic4704	0	1673410784054
EZKg2x3FgvRNiQfgK0iNy1iz54k2	advanced5146	0	1673411858220
EZKg2x3FgvRNiQfgK0iNy1iz54k2	advanced5740	0	1673411873636
LH8ERBe1DpXavxtNNxKE0KIPyio2	basic4701	1	1673412049841
LH8ERBe1DpXavxtNNxKE0KIPyio2	basic4702	0	1673412049841
LH8ERBe1DpXavxtNNxKE0KIPyio2	basic4703	1	1673412049841
LH8ERBe1DpXavxtNNxKE0KIPyio2	basic4704	0	1673412049841
LH8ERBe1DpXavxtNNxKE0KIPyio2	basic4701	1	1673412209391
LH8ERBe1DpXavxtNNxKE0KIPyio2	basic4702	1	1673412209391
LH8ERBe1DpXavxtNNxKE0KIPyio2	basic4703	1	1673412209391
